DATE,IVIX,GVIX,GV-Spread
2018/05/31,20.312680680419543,20.27503867837555,-3.7642002043991596e-2
2018/06/01,20.451274850191197,20.44188084509119,-9.394005100006098e-3
2018/06/04,19.422215437251218,19.456995314351683,3.4779877100465484e-2
2018/06/05,19.15312495118851,19.175346224672065,2.2221273483555848e-2
2018/06/06,18.790188039781683,18.814949033091654,2.4760993309971724e-2
2018/06/07,18.174536013615366,18.218167599287135,4.363158567176839e-2
2018/06/08,19.453547157714517,19.47486594181267,2.1318784098152577e-2
2018/06/11,20.135433813845744,20.190877073864286,5.544326001854216e-2
2018/06/12,19.05731501402172,19.14424179987975,8.692678585802938e-2
2018/06/13,19.388868756903126,19.458541618137044,6.967286123391858e-2
2018/06/14,19.81067486960634,19.90112878735212,9.045391774577993e-2
2018/06/15,20.272873348157653,20.37296747638584,0.10009412822818575
2018/06/19,23.9493506948277,23.969246237999783,1.9895543172083308e-2
2018/06/20,21.412806148699843,21.4305516244083,1.7745475708455416e-2
2018/06/21,20.199408466560826,20.22714545607279,2.7736989511964794e-2
2018/06/22,19.807708833749363,19.82037332204786,1.2664488298497645e-2
2018/06/25,20.89146415649155,20.83351820274391,-5.7945953747641e-2
2018/06/26,21.351557411101705,21.29194360666002,-5.96138044416854e-2
2018/06/27,23.037853609702456,22.936786965553683,-0.10106664414877287
2018/06/28,23.569151123457228,23.56334667583807,-5.804447619158992e-3
2018/06/29,21.839929782599356,21.89282381027729,5.289402767793305e-2
2018/07/02,25.557502612602057,25.469951423896468,-8.755118870558931e-2
2018/07/03,26.342811798252587,26.316899737874504,-2.5912060378082913e-2
2018/07/04,26.948262956052655,26.93154816675837,-1.6714789294287158e-2
2018/07/05,27.27032987337002,27.26097526383844,-9.354609531580849e-3
2018/07/06,26.237067763454057,26.29030771125337,5.3239947799312404e-2
2018/07/09,23.628214836221957,23.77902353757118,0.15080870134922364
2018/07/10,23.540725297882396,23.69253793548742,0.15181263760502262
2018/07/11,25.613168673354096,25.737743320260158,0.12457464690606201
2018/07/12,24.065971162643667,24.240540322140024,0.17456915949635743
2018/07/13,24.390768126650535,24.56956310756028,0.17879498090974622
2018/07/16,25.34049355294598,25.53150516854578,0.19101161559980184
2018/07/17,25.649240092414484,25.844181210520407,0.1949411181059233
2018/07/18,25.954195174831106,26.152998673871686,0.19880349904057937
2018/07/19,26.255318408656713,26.457918259506513,0.2025998508498006
2018/07/20,26.552962709459383,26.759298249111733,0.20633553965235052
2018/07/23,27.426445487311156,27.643652455455413,0.21720696814425722
2018/07/24,27.711035815845403,27.931757427176407,0.22072161133100465
2018/07/25,28.068259773854116,28.251849426956277,0.18358965310216036
2018/07/26,28.38350416903484,28.55087680977657,0.16737264074173197
2018/07/27,28.695095783527226,28.84661944757529,0.15152366404806372
2018/07/30,29.610626708674697,29.716642283524674,0.1060155748499767
2018/07/31,29.90914879807136,30.00062217083292,9.147337276155909e-2
2018/08/01,30.204682734083615,30.281904724875957,7.722199079234215e-2
2018/08/02,30.497029437085178,30.56027849478276,6.32490576975826e-2
2018/08/03,30.78656137584409,30.83610701486229,4.954563901819853e-2
