DATE,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015/02/10,50ETF沽2015年4月2.30,认沽,2.3,2015/04/22 00:00,0.102
2015/02/10,50ETF沽2015年4月2.35,认沽,2.35,2015/04/22 00:00,0.127
2015/02/10,50ETF沽2015年4月2.40,认沽,2.4,2015/04/22 00:00,0.1528
2015/02/10,50ETF购2015年6月2.20,认购,2.2,2015/06/24 00:00,0.2751
2015/02/10,50ETF购2015年6月2.25,认购,2.25,2015/06/24 00:00,0.2446
2015/02/10,50ETF购2015年6月2.30,认购,2.3,2015/06/24 00:00,0.2165
2015/02/10,50ETF购2015年6月2.35,认购,2.35,2015/06/24 00:00,0.1905
2015/02/10,50ETF购2015年6月2.40,认购,2.4,2015/06/24 00:00,0.1688
2015/02/10,50ETF沽2015年6月2.20,认沽,2.2,2015/06/24 00:00,0.1076
2015/02/10,50ETF沽2015年6月2.25,认沽,2.25,2015/06/24 00:00,0.1282
2015/02/10,50ETF沽2015年6月2.30,认沽,2.3,2015/06/24 00:00,0.1518
2015/02/10,50ETF沽2015年6月2.35,认沽,2.35,2015/06/24 00:00,0.1728
2015/02/10,50ETF沽2015年6月2.40,认沽,2.4,2015/06/24 00:00,0.1996
2015/02/10,50ETF购2015年9月2.20,认购,2.2,2015/09/23 00:00,0.3325
2015/02/10,50ETF购2015年9月2.25,认购,2.25,2015/09/23 00:00,0.304
2015/02/10,50ETF购2015年9月2.30,认购,2.3,2015/09/23 00:00,0.277
2015/02/10,50ETF购2015年9月2.35,认购,2.35,2015/09/23 00:00,0.254
2015/02/10,50ETF购2015年9月2.40,认购,2.4,2015/09/23 00:00,0.2283
2015/02/10,50ETF沽2015年9月2.20,认沽,2.2,2015/09/23 00:00,0.1542
2015/02/10,50ETF沽2015年9月2.25,认沽,2.25,2015/09/23 00:00,0.1759
2015/02/10,50ETF沽2015年9月2.30,认沽,2.3,2015/09/23 00:00,0.198
2015/02/10,50ETF沽2015年9月2.35,认沽,2.35,2015/09/23 00:00,0.2212
2015/02/10,50ETF沽2015年9月2.40,认沽,2.4,2015/09/23 00:00,0.2503
2015/02/10,50ETF购2015年3月2.45,认购,2.45,2015/03/25 00:00,0.0622
2015/02/10,50ETF沽2015年3月2.45,认沽,2.45,2015/03/25 00:00,0.154
2015/02/10,50ETF购2015年4月2.45,认购,2.45,2015/04/22 00:00,0.0898
2015/02/10,50ETF沽2015年4月2.45,认沽,2.45,2015/04/22 00:00,0.1836
2015/02/10,50ETF购2015年6月2.45,认购,2.45,2015/06/24 00:00,0.1441
2015/02/10,50ETF沽2015年6月2.45,认沽,2.45,2015/06/24 00:00,0.2283
2015/02/10,50ETF购2015年9月2.45,认购,2.45,2015/09/23 00:00,0.2063
2015/02/10,50ETF沽2015年9月2.45,认沽,2.45,2015/09/23 00:00,0.279
2015/02/10,50ETF购2015年3月2.40,认购,2.4,2015/03/25 00:00,0.0855
2015/02/11,50ETF购2015年3月2.20,认购,2.2,2015/03/25 00:00,0.2107
2015/02/11,50ETF购2015年3月2.25,认购,2.25,2015/03/25 00:00,0.1702
2015/02/11,50ETF购2015年3月2.30,认购,2.3,2015/03/25 00:00,0.1363
2015/02/11,50ETF购2015年3月2.35,认购,2.35,2015/03/25 00:00,0.105
2015/02/11,50ETF沽2015年3月2.20,认沽,2.2,2015/03/25 00:00,0.0321
2015/02/11,50ETF沽2015年3月2.25,认沽,2.25,2015/03/25 00:00,0.0425
2015/02/11,50ETF沽2015年3月2.30,认沽,2.3,2015/03/25 00:00,0.0564
2015/02/11,50ETF沽2015年3月2.35,认沽,2.35,2015/03/25 00:00,0.0752
2015/02/11,50ETF沽2015年3月2.40,认沽,2.4,2015/03/25 00:00,0.0992
2015/02/11,50ETF购2015年4月2.20,认购,2.2,2015/04/22 00:00,0.2274
2015/02/11,50ETF购2015年4月2.25,认购,2.25,2015/04/22 00:00,0.1887
2015/02/11,50ETF购2015年4月2.30,认购,2.3,2015/04/22 00:00,0.1577
2015/02/11,50ETF购2015年4月2.35,认购,2.35,2015/04/22 00:00,0.1293
2015/02/11,50ETF购2015年4月2.40,认购,2.4,2015/04/22 00:00,0.1058
2015/02/11,50ETF沽2015年4月2.20,认沽,2.2,2015/04/22 00:00,0.046
2015/02/11,50ETF沽2015年4月2.25,认沽,2.25,2015/04/22 00:00,0.0598
2015/02/11,50ETF沽2015年4月2.30,认沽,2.3,2015/04/22 00:00,0.0776
2015/02/11,50ETF沽2015年4月2.35,认沽,2.35,2015/04/22 00:00,0.0996
2015/02/11,50ETF沽2015年4月2.40,认沽,2.4,2015/04/22 00:00,0.1245
2015/02/11,50ETF购2015年6月2.20,认购,2.2,2015/06/24 00:00,0.2643
2015/02/11,50ETF购2015年6月2.25,认购,2.25,2015/06/24 00:00,0.2323
2015/02/11,50ETF购2015年6月2.30,认购,2.3,2015/06/24 00:00,0.2052
2015/02/11,50ETF购2015年6月2.35,认购,2.35,2015/06/24 00:00,0.1798
2015/02/11,50ETF购2015年6月2.40,认购,2.4,2015/06/24 00:00,0.1591
2015/02/11,50ETF沽2015年6月2.20,认沽,2.2,2015/06/24 00:00,0.084
2015/02/11,50ETF沽2015年6月2.25,认沽,2.25,2015/06/24 00:00,0.1019
2015/02/11,50ETF沽2015年6月2.30,认沽,2.3,2015/06/24 00:00,0.1226
2015/02/11,50ETF沽2015年6月2.35,认沽,2.35,2015/06/24 00:00,0.145
2015/02/11,50ETF沽2015年6月2.40,认沽,2.4,2015/06/24 00:00,0.1706
2015/02/11,50ETF购2015年9月2.20,认购,2.2,2015/09/23 00:00,0.321
2015/02/11,50ETF购2015年9月2.25,认购,2.25,2015/09/23 00:00,0.2894
2015/02/11,50ETF购2015年9月2.30,认购,2.3,2015/09/23 00:00,0.2614
2015/02/11,50ETF购2015年9月2.35,认购,2.35,2015/09/23 00:00,0.2355
2015/02/11,50ETF购2015年9月2.40,认购,2.4,2015/09/23 00:00,0.2117
2015/02/11,50ETF沽2015年9月2.20,认沽,2.2,2015/09/23 00:00,0.1245
2015/02/11,50ETF沽2015年9月2.25,认沽,2.25,2015/09/23 00:00,0.1443
2015/02/11,50ETF沽2015年9月2.30,认沽,2.3,2015/09/23 00:00,0.1649
2015/02/11,50ETF沽2015年9月2.35,认沽,2.35,2015/09/23 00:00,0.1882
2015/02/11,50ETF沽2015年9月2.40,认沽,2.4,2015/09/23 00:00,0.2159
2015/02/11,50ETF购2015年3月2.45,认购,2.45,2015/03/25 00:00,0.0591
2015/02/11,50ETF沽2015年3月2.45,认沽,2.45,2015/03/25 00:00,0.1297
2015/02/11,50ETF购2015年4月2.45,认购,2.45,2015/04/22 00:00,0.0847
2015/02/11,50ETF沽2015年4月2.45,认沽,2.45,2015/04/22 00:00,0.1528
2015/02/11,50ETF购2015年6月2.45,认购,2.45,2015/06/24 00:00,0.1358
2015/02/11,50ETF沽2015年6月2.45,认沽,2.45,2015/06/24 00:00,0.1989
2015/02/11,50ETF购2015年9月2.45,认购,2.45,2015/09/23 00:00,0.1925
2015/02/11,50ETF沽2015年9月2.45,认沽,2.45,2015/09/23 00:00,0.239
2015/02/11,50ETF购2015年3月2.40,认购,2.4,2015/03/25 00:00,0.078
2015/02/12,50ETF购2015年3月2.20,认购,2.2,2015/03/25 00:00,0.2109
